task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	a9/c0d076	1980	TRIMGALORE (C0_R2_T1)	CACHED	0	2022-04-04 16:47:26.247	29m 14s	28m 46s	493.3%	3.4 GB	4.3 GB	159 GB	154.2 GB
18	a3/89e6c0	1982	FASTQC (C0_R3_T1)	CACHED	0	2022-04-04 16:47:29.054	8m 21s	8m 12s	100.4%	1.2 GB	4.3 GB	3.4 GB	4.6 MB
14	cc/d58ec9	1981	TRIMGALORE (C0_R2_T2)	CACHED	0	2022-04-04 16:47:28.375	29m 32s	29m 6s	485.8%	3.4 GB	4 GB	156.2 GB	151.9 GB
19	94/8e6e06	1983	FASTQC (C0_R3_T2)	CACHED	0	2022-04-04 16:47:29.298	11m 6s	10m 58s	100.2%	1.1 GB	4.2 GB	4.3 GB	4.6 MB
20	d9/9adad2	2011	BWA_MEM (C0_R2_T1)	CACHED	0	2022-04-04 17:16:42.920	53m 38s	52m 36s	1105.2%	7.3 GB	8.8 GB	33.5 GB	30 GB
21	87/e152da	2012	BWA_MEM (C0_R2_T2)	CACHED	0	2022-04-04 17:17:03.382	52m 23s	49m 42s	1119.1%	7.3 GB	8.8 GB	33.1 GB	29.6 GB
22	98/58c9d1	1987	FASTQC (C0_R4_T1)	CACHED	0	2022-04-04 16:47:30.533	17m 35s	7m 53s	99.1%	1.2 GB	4.3 GB	3 GB	4.6 MB
25	5c/403e5d	1988	FASTQC (C0_R4_T2)	CACHED	0	2022-04-04 16:47:30.710	18m 55s	7m 42s	100.4%	1.1 GB	4.3 GB	3 GB	4.6 MB
24	5c/e7257a	1984	TRIMGALORE (C0_R3_T2)	CACHED	0	2022-04-04 16:47:29.620	36m 41s	25m 36s	490.3%	3.4 GB	4.4 GB	140.3 GB	136 GB
23	f4/be4d64	1986	TRIMGALORE (C0_R3_T1)	CACHED	0	2022-04-04 16:47:30.331	31m 55s	20m 43s	483.5%	3.2 GB	4.1 GB	105.5 GB	102 GB
30	a9/e8995a	1990	FASTQC (IK0_R1_T2)	CACHED	0	2022-04-04 16:47:31.632	20m 49s	9m 38s	100.2%	1.2 GB	4.3 GB	3.7 GB	4.6 MB
29	41/3b1f78	1992	FASTQC (IK0_R1_T1)	CACHED	0	2022-04-04 16:47:32.943	23m 23s	12m 14s	99.9%	1.1 GB	4.3 GB	4.7 GB	4.6 MB
31	4c/6b7ab8	2014	BWA_MEM (C0_R3_T1)	CACHED	0	2022-04-04 17:19:27.609	39m 28s	37m 1s	1129.9%	7.1 GB	8.7 GB	24.2 GB	20.2 GB
28	1e/457f96	2016	BWA_MEM (C0_R3_T2)	CACHED	0	2022-04-04 17:24:12.301	46m 24s	46m 5s	1103.9%	7.2 GB	8.8 GB	30.3 GB	26.6 GB
26	2d/723639	2030	SORT_BAM (C0_R2_T1)	CACHED	0	2022-04-04 18:10:23.294	12m 33s	12m 21s	166.6%	5.1 GB	6 GB	21 GB	8.4 GB
27	b2/ccd6b6	2029	SORT_BAM (C0_R2_T2)	CACHED	0	2022-04-04 18:09:28.325	12m 48s	12m 32s	162.7%	5.1 GB	6 GB	19.6 GB	7.3 GB
